Departamento:,Provincia:,Municipio:,Ciudad/localidad:,Distrito:,Distrito municipal:,DM Otro:,UV:,Barrio:,Institución:,Otro:,Fecha:,Turno:,Técnico 1:,Técnico 2:,Supervisor:,_id,_uuid,_submission_time,_index
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,12,DM 12,,178,FORTALEZA,Municipio,,2023-02-08 00:00:00,MAÑANA,ANA CRUZ,,ELIZABETH MENDOZA,217980313,8b20dda2-f7a4-4cd7-ab8b-e5732df7e8ef,2023-02-08 13:54:46,1
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 5,,,,Municipio,,2023-02-11 00:00:00,,,,,218657932,f7a1908c-f950-4369-bd96-36fc986408a4,2023-02-12 00:21:48,2
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 6,,,,Otro,,2023-02-12 00:00:00,Mañana,Maribel,,Laura garcia,218713598,42533b7b-709a-4ba7-a62a-8cb1cddaf91d,2023-02-12 12:34:12,3
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,7,DM 7,,99 95 89,Distrito 7,Municipio,,2023-02-12 00:00:00,Mañana,Gato Nuñez,Estefani,,218719840,971aea3c-3cec-40df-b22d-0358484178fb,2023-02-12 13:17:40,4
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,5,DM 5,,,,Municipio,,2023-02-12 00:00:00,Mañana,Marcelo miranda,,Juan cruz,218720540,570821e7-1f76-4f96-bb0a-ed0eb10ee325,2023-02-12 13:22:05,5
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 7,,,,Municipio,,2023-02-12 00:00:00,Mañana,Gary Nuñez,,,218721326,623474f2-4b41-44af-afc4-53c58a661de0,2023-02-12 13:27:43,6
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 7,,Tres pasos al frente,,Municipio,,2023-02-12 00:00:00,Mañana,Gary nuñez,,,218721390,67e9cadd-f05f-4311-960e-bd323310e5e4,2023-02-12 13:28:13,7
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 7,,95 99 88,16 de Julio,Municipio,,2023-02-12 00:00:00,Mañana,Gary Nuñez,,,218722267,7539dd72-159b-4a25-83f4-4f49b514b9b6,2023-02-12 13:32:53,8
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,5,DM 5,,,Universitario,Otro,,2023-02-12 00:00:00,Mañana,,,,218722408,ade715ad-a109-4905-b5f8-19462e690a8c,2023-02-12 13:33:54,9
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 5,,,,Municipio,,2023-02-12 00:00:00,Mañana,Victoria lopez,,Dr. Janco Dr.nelson,218722609,0e92aa6e-ea03-4b80-8588-2bf3976c8724,2023-02-12 13:35:54,10
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 5,,,,Municipio,,2023-02-12 00:00:00,Mañana,Victoria López,Nelson Feliz Choque,Dr. Juan Carlos Janko,218722657,dcf52e91-a315-4405-ab2b-239b77a92cc7,2023-02-12 13:36:15,11
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,,,,,Municipio,,2023-02-12 00:00:00,,,,,218722684,16be23b2-e7c1-4815-81c3-ced4f64e8d0b,2023-02-12 13:36:31,12
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 7,,99,16 de julio,Municipio,,2023-02-12 00:00:00,Mañana,Gary Nuñez,,,218722809,428ed434-54bc-4430-a68f-daf47986db1a,2023-02-12 13:37:54,13
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 5,,,,Municipio,,2023-02-12 00:00:00,,,,,218722955,ca1d4160-bc78-4cc0-b93c-84072b111f8d,2023-02-12 13:39:42,14
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 7,,100,,Municipio,,2023-02-12 00:00:00,Mañama,Nelzy gutierrez,Gladys ticona,Dr: Mercedes Miranda,218723021,1939559c-24d5-46de-ab5c-db1ef4ba2e82,2023-02-12 13:40:27,15
